Symbol,Company Name,Industry
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES
BAJAJ_AUTO,Bajaj Auto Ltd.,AUTOMOBILE
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES
BPCL,Bharat Petroleum Corporation Ltd.,OIL & GAS
BHARTIARTL,Bharti Airtel Ltd.,TELECOM
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS
CIPLA,Cipla Ltd.,PHARMA
COALINDIA,Coal India Ltd.,METALS
DIVISLAB,Divi's Laboratories Ltd.,PHARMA
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS
HCLTECH,HCL Technologies Ltd.,IT
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE
HINDALCO,Hindalco Industries Ltd.,METALS
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES
ITC,ITC Ltd.,CONSUMER GOODS
IOC,Indian Oil Corporation Ltd.,OIL & GAS
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES
INFY,Infosys Ltd.,IT
JSWSTEEL,JSW Steel Ltd.,METALS
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES
LT,Larsen & Toubro Ltd.,CONSTRUCTION
M_M,Mahindra & Mahindra Ltd.,AUTOMOBILE
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE
NTPC,NTPC Ltd.,POWER
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS
ONGC,Oil & Natural Gas Corporation Ltd.,OIL & GAS
POWERGRID,Power Grid Corporation of India Ltd.,POWER
RELIANCE,Reliance Industries Ltd.,OIL & GAS
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS
SBIN,State Bank of India,FINANCIAL SERVICES
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA
TCS,Tata Consultancy Services Ltd.,IT
TATACONSUM,Tata Consumer Products Ltd.,CONSUMER GOODS
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE
TATASTEEL,Tata Steel Ltd.,METALS
TECHM,Tech Mahindra Ltd.,IT
TITAN,Titan Company Ltd.,CONSUMER GOODS
UPL,UPL Ltd.,FERTILISERS & PESTICIDES
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS
WIPRO,Wipro Ltd.,IT
